// Reference=MNI

// Birn et al., 2017
// Subjects=44
-18	-61	21
28	-76	-12
-36	-14	30
59	-45	-3
-38	-76	26
30	20	49

// Casement et al., 2015
// Subjects=157
6	64	14
-14	34	38
20	34	10

// Richter et al., 2019
// Subjects=97
12	14	-2
-10	12	-2
-6	-18	-14
24	-38	2

// Harms et al., 2018
// Subjects=53
-48	22	38
46	30	32
13	-93	16
31	-59	-39

// Seitz et al., 2023
// Subjects=118
4	58	-4
-12	28	46
-36	28	-6
42	14	-10

// Gerin et al., 2017
// Subjects=37
-12	-16	-8
30	47	-8
18	-7	18
42	-25	-5
-57	-31	-8
-6	-34	25

// Blair et al., 2022
// Subjects=142
-10	50	21
13	-7	25
